GENDER,BIPOCFmt,FGFmt,PellFmt,Group2,EYEAR,N,Ret2nd,Ret3rd,Ret4th,GradIn4,GradIn5,GradIn6,GradTerm
M,BIPOC,First gen,Not Pell,2. Other,2017,71,0.788732394,0.718309859,0.710144928,,,,9.428571429
M,BIPOC,First gen,Not Pell,2. Other,2018,69,0.826086957,0.724637681,,,,,
M,BIPOC,First gen,Not Pell,2. Other,2019,94,0.776595745,,,,,,
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2014,6,0.833333333,1,1,0.166666667,0.666666667,1,14.16666667
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2015,7,0.571428571,0.571428571,0.571428571,0.285714286,0.571428571,,12.75
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2016,3,1,0.333333333,0.333333333,0.333333333,,,12
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2017,11,0.818181818,0.818181818,0.818181818,,,,
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2018,2,1,1,,,,,
M,BIPOC,First gen,Pell,1. Rural/Small Rural,2019,14,0.857142857,,,,,,
M,BIPOC,First gen,Pell,2. Other,2014,112,0.910714286,0.8125,0.785714286,0.383928571,0.651785714,0.696428571,12.59493671
M,BIPOC,First gen,Pell,2. Other,2015,107,0.859813084,0.76635514,0.716981132,0.336448598,0.598130841,,12.36363636
M,BIPOC,First gen,Pell,2. Other,2016,133,0.872180451,0.796992481,0.75,0.360902256,,,11.25454545
M,BIPOC,First gen,Pell,2. Other,2017,127,0.874015748,0.803149606,0.74015748,,,,10
M,BIPOC,First gen,Pell,2. Other,2018,121,0.884297521,0.826446281,,,,,
M,BIPOC,First gen,Pell,2. Other,2019,129,0.860465116,,,,,,
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2014,5,0.8,0.6,0.4,0.2,0.4,0.4,12.5
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2015,6,1,1,0.833333333,0.333333333,0.833333333,,12.6
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2016,7,1,0.714285714,0.714285714,0.142857143,,,12
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2017,15,0.866666667,0.866666667,0.8,,,,
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2018,3,1,1,,,,,
M,BIPOC,Not first gen,Not Pell,1. Rural/Small Rural,2019,12,0.916666667,,,,,,
M,BIPOC,Not first gen,Not Pell,2. Other,2014,192,0.833333333,0.765625,0.755208333,0.395833333,0.677083333,0.71875,12.39855072
M,BIPOC,Not first gen,Not Pell,2. Other,2015,193,0.89119171,0.875647668,0.821989529,0.502590674,0.761658031,,12.03355705
M,BIPOC,Not first gen,Not Pell,2. Other,2016,212,0.900943396,0.830188679,0.816425121,0.547169811,,,11.05555556
M,BIPOC,Not first gen,Not Pell,2. Other,2017,236,0.88559322,0.867521368,0.8125,,,,8.739130435
M,BIPOC,Not first gen,Not Pell,2. Other,2018,275,0.909090909,0.84,,,,,7
M,BIPOC,Not first gen,Not Pell,2. Other,2019,285,0.905263158,,,,,,
M,BIPOC,Not first gen,Pell,1. Rural/Small Rural,2014,5,1,0.6,0.6,0.2,0.4,0.4,12.5
