GENDER_CD,Group,Group2,BIPOCFmt,FGFmt,CCHE_FAFSA_CODE,Pell,AGI,FedGrants,FedStudentLoans,FedWorkStudy,InstNeedBasedGrants,InstNonNeedBasedGrants,PrivateSchol,TotalStudentLoans,EFC,FAFSA,GotFedGrants,GotFedStudentLoans,GotFedWorkStudy,FedTotal,GotFedAny,GotPrivateSchol,GotStudentLoans,GotInstNBGrant,GotInstNonNeedGrant,GotAidAny,GotNBAid
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,209137,,7500,,,1000,,7500,58170,1,0,1,0,7500,1,0,1,0,1,1,0
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,2,,,,,,,,,8500,0,0,0,0,0,,0,0,1,0,0,1,0
M,1. Rural,1. Rural/Small Rural,BIPOC,Not first gen,1,0,214088,,6000,,,,,6000,26482,1,0,1,0,6000,1,0,1,0,0,1,1
F,3. Other,2. Other,Not BIPOC,Not first gen,1,0,173915,,3750,,,,,3750,24574,1,0,1,0,3750,1,0,1,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
F,3. Other,2. Other,BIPOC,First gen,1,0,123950,,4000,,,6500,2000,4000,24861,1,0,1,0,4000,1,1,1,0,1,1,0
M,3. Other,2. Other,BIPOC,First gen,1,0,93817,,,3812.76,,,,,14981,1,0,0,1,3812.76,1,0,0,0,0,1,1
M,2. Small Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,BIPOC,Not first gen,1,0,76186,,1155,1421.88,800,,,1155,7629,1,0,1,1,2576.88,1,0,1,1,0,1,1
F,1. Rural,1. Rural/Small Rural,BIPOC,Not first gen,1,1,28508,6345,,,4150,,,,0,1,1,0,0,6345,1,0,0,1,0,1,1
M,3. Other,2. Other,BIPOC,First gen,1,1,13412,3172.5,,1706.28,4575,4587.5,,,0,1,1,0,1,4878.78,1,0,0,1,1,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,269313,,3000,,,,,12556,39978,1,0,1,0,3000,1,0,1,0,0,1,0
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,2,,,,,,,5000,,,0,0,0,0,0,,0,0,0,0,1,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,87709,,,,2400,,,6000,11136,1,0,0,0,,0,0,1,1,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,88858,,3750,,,,,3750,12483,1,0,1,0,3750,1,0,1,0,0,1,1
F,3. Other,2. Other,Not BIPOC,First gen,1,0,337563,,7500,,,,,7500,108907,1,0,1,0,7500,1,0,1,0,0,1,0
M,3. Other,2. Other,Not BIPOC,Not first gen,1,0,27834,,,,,,,,6855,1,0,0,0,,0,0,0,0,0,1,1
M,3. Other,2. Other,Not BIPOC,Not first gen,2,,,,,,,2160,,,0,0,0,0,0,,0,0,0,0,1,1,0
F,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,2,,,,,,,,2000,,0,0,0,0,0,,0,1,0,0,0,1,0
M,1. Rural,1. Rural/Small Rural,Not BIPOC,Not first gen,1,0,249628,,,,,,,,62245,1,0,0,0,,0,0,0,0,0,0,0
