Gender,Rural_or_not,BIPOC_or_not,FirstGen_or_not,Completed_FAFSA,Exp_FamilyContribution,Adjusted_GrossIncome,Got_FedGrants,Got_NeedBasedAid,Got_Any_Aid
M,0,0,0,1,26987.0,199970.0,0,1,1
M,0,0,0,1,65259.0,229360.0,0,0,1
M,0,1,0,1,87214.0,284627.0,0,0,1
M,0,0,0,1,60084.0,422124.0,0,0,0
M,0,0,0,1,20462.0,155698.0,0,1,1
F,0,0,0,1,6679.0,80512.0,0,1,1
F,0,1,0,1,4901.0,54783.0,1,1,1
M,0,0,0,1,20105.0,107927.0,0,1,1
F,0,1,1,1,1071.0,48711.0,1,1,1
F,0,1,1,1,3942.0,57927.0,1,1,1
F,0,0,0,1,67263.0,142327.0,0,0,0
M,0,0,0,1,30111.0,124807.0,1,1,1
M,0,1,1,1,1434.0,43855.0,1,1,1
F,0,1,1,1,5017.0,64059.0,1,1,1
F,0,1,0,1,74671.0,249007.0,0,0,1
M,0,0,1,1,5857.0,53186.0,0,0,1
F,1,0,1,1,2205.0,38944.0,1,1,1
F,0,1,0,1,19882.0,138055.0,0,1,1
M,0,1,0,1,6678.0,102018.0,0,1,1
F,0,1,1,1,6489.0,88489.0,0,1,1
F,0,0,0,1,600.0,23246.0,1,1,1
F,0,0,0,1,5414.0,80935.0,1,1,1
F,0,0,0,1,41119.0,180556.0,0,0,1
F,0,1,0,1,47430.0,410882.0,0,0,1
M,0,0,0,1,6385.0,28096.0,0,1,1
F,0,0,1,1,2450.0,18065.0,1,1,1
M,0,0,0,1,10841.0,78804.0,0,1,1
M,0,0,0,1,19090.0,142825.0,0,1,1
M,0,1,0,1,2971.0,41179.0,1,1,1
M,0,0,0,1,9038.0,102036.0,0,1,1
M,0,0,0,1,148198.0,199731.0,0,0,1
F,0,0,0,1,25533.0,167080.0,0,0,1
M,0,0,0,1,5610.0,57463.0,1,1,1
F,0,0,0,1,20163.0,112027.0,0,1,1
F,0,0,0,1,28589.0,103836.0,0,0,0
F,0,1,1,1,2370.0,30786.0,1,1,1
F,0,1,0,1,39981.0,133617.0,0,0,1
M,0,0,0,1,44151.0,302454.0,0,0,1
M,0,0,1,1,187.0,12680.0,1,1,1
M,0,0,0,1,21619.0,197006.0,0,1,1
F,0,1,1,1,4792.0,47754.0,1,1,1
M,0,0,0,1,160.0,22355.0,1,1,1
M,0,0,0,1,58170.0,209137.0,0,0,1
M,1,1,0,1,26482.0,214088.0,0,1,1
F,0,0,0,1,24574.0,173915.0,0,1,1
F,0,1,1,1,24861.0,123950.0,0,0,1
M,0,1,1,1,14981.0,93817.0,0,1,1
M,0,1,0,1,7629.0,76186.0,0,1,1
M,0,0,0,1,39978.0,269313.0,0,0,1
M,0,0,0,1,11136.0,87709.0,0,1,1
M,0,0,0,1,12483.0,88858.0,0,1,1
F,0,0,1,1,108907.0,337563.0,0,0,1
M,0,0,0,1,6855.0,27834.0,0,1,1
M,1,0,0,1,62245.0,249628.0,0,0,0
F,0,1,1,1,83.0,31591.0,1,1,1
F,0,0,1,1,28337.0,114378.0,0,0,1
F,1,0,0,1,10147.0,72826.0,0,1,1
F,0,0,0,1,27062.0,104099.0,0,1,1
M,1,0,0,1,8923.0,138200.0,0,1,1
M,0,0,0,1,34612.0,92465.0,0,0,0
M,0,0,0,1,102916.0,237272.0,0,0,1
M,0,1,0,1,1997.0,39069.0,1,1,1
M,1,0,0,1,54916.0,212727.0,0,0,1
M,0,1,0,1,15608.0,93904.0,0,1,1
M,0,0,1,1,3365.0,42938.0,1,1,1
F,0,0,1,1,40185.0,176888.0,0,0,1
M,1,0,0,1,20.0,18456.0,1,1,1
M,0,1,0,1,73900.0,280311.0,0,0,1
M,0,1,0,1,37939.0,136601.0,0,0,1
M,0,0,0,1,2614.0,56959.0,1,1,1
M,0,1,0,1,96667.0,142994.0,0,1,1
M,1,0,0,1,3588.0,57076.0,1,1,1
F,0,1,0,1,73534.0,145103.0,0,0,1
M,0,0,0,1,39056.0,205514.0,0,0,1
M,0,1,0,1,44936.0,228003.0,1,1,1
F,1,0,0,1,20779.0,176587.0,0,1,1
F,1,0,0,1,113.0,10859.0,1,1,1
F,0,0,0,1,8983.0,104230.0,0,1,1
M,0,0,0,1,150567.0,317463.0,0,0,1
F,0,0,0,1,56361.0,216446.0,0,0,1
M,0,0,0,1,31617.0,206069.0,0,1,1
M,0,0,0,1,183475.0,389299.0,0,0,0
F,0,0,0,1,25141.0,89357.0,0,0,1
F,0,0,0,1,45.0,-713721.0,1,1,1
M,0,0,0,1,4904.0,-19356.0,1,1,1
M,0,0,0,1,95.0,12136.0,1,1,1
F,0,1,0,1,6269.0,57076.0,0,1,1
F,0,0,0,1,29963.0,189141.0,0,0,1
F,0,0,0,1,57492.0,217499.0,0,0,1
F,0,0,1,1,52869.0,113855.0,0,0,0
M,0,1,0,1,80648.0,280613.0,0,0,0
M,0,1,1,1,4414.0,62433.0,1,1,1
M,0,1,1,1,14391.0,92129.0,0,1,1
M,0,1,1,1,5845.0,36039.0,0,1,1
F,0,0,0,1,11568.0,77522.0,0,1,1
M,0,1,0,1,30292.0,225051.0,0,0,1
M,1,0,0,1,22509.0,188451.0,0,1,1
F,0,0,0,1,5144.0,71260.0,1,1,1
M,0,0,0,1,31870.0,118403.0,0,0,1
M,0,0,0,1,39112.0,177086.0,0,1,1
M,0,1,1,1,24569.0,113114.0,0,1,1
F,0,1,0,1,17197.0,104155.0,0,1,1
M,0,0,0,1,44475.0,167241.0,0,0,1
F,0,0,0,1,7212.0,97359.0,0,1,1
M,0,0,0,1,59711.0,335405.0,0,0,1
F,0,0,1,1,22127.0,120105.0,0,1,1
M,1,0,0,1,4709.0,62607.0,1,1,1
M,0,0,0,1,3759.0,22000.0,0,1,1
F,0,0,0,1,108894.0,550626.0,0,0,1
F,0,1,0,1,35921.0,206742.0,0,0,1
M,0,1,0,1,267258.0,173833.0,0,0,0
F,0,0,0,1,1573.0,40323.0,1,1,1
F,0,1,1,1,3762.0,81769.0,1,1,1
F,0,0,0,1,53450.0,224257.0,0,0,1
M,0,0,0,1,65330.0,261080.0,0,0,0
M,0,1,0,1,5316.0,58951.0,1,1,1
F,0,1,1,1,8284.0,99490.0,0,1,1
